tid	index	output	input
469799863866384384	2402	"['rt', '@teddyferrari1', ':', '""', 'ah', '...', '@datzmenoni', ':', 'why', 'sub', 'ozil', '""', '@lexzydoo_ab', ':', 'opolo', 'eyes', 'you', 'no', 'fit', 'open', 'eyes', '""""']"	"['RT', '@teddyferrari1', ':', '""', 'Ah', '...', '@Datzmenoni', ':', 'Why', 'sub', 'Ozil', '""', '@lexzydoo_ab', ':', 'Opolo', 'eyes', 'u', 'no', 'fit', 'open', 'eyes', '""""']"
471002081403604992	2403	['you', 'have', 'a', 'very', 'sexy', 'header', '@jaibrooks1', 'rawr']	['u', 'have', 'a', 'very', 'sexy', 'header', '@JaiBrooks1', 'rawr']
471594635899326464	2404	['i', 'miss', 'you', 'my', 'bie', '!', 'where', 'you', 'wanna', 'out', 'with', 'me', '?', 'have', 'a', 'wonderful', 'day', 'like', 'a', 'swan', 'day', '..', 'haha', '..']	['I', 'miss', 'u', 'my', 'bie', '!', 'Where', 'u', 'wanna', 'out', 'wif', 'me', '?', 'Have', 'a', 'wonderful', 'day', 'like', 'a', 'swan', 'day', '..', 'haha', '..']
470906245746941952	2405	"['""', 'cantik', '.', 'rt', '@historyinpics', ':', 'julie', 'christie', ',', '1968', '.', 'photograph', 'by', 'richard', 'avedon', '.', 'http://t.co/gscav8o0ik', '""']"	"['""', 'Cantik', '.', 'RT', '@HistoryInPics', ':', 'Julie', 'Christie', ',', '1968', '.', 'Photograph', 'by', 'Richard', 'Avedon', '.', 'http://t.co/GScaV8O0Ik', '""']"
469909960147886081	2406	['rt', '@fvckxhemmings', ':', 'did', 'calum', 'slip', '?!!', 'oh my fucking god']	['RT', '@FVCKxHEMMINGS', ':', 'DID', 'CALUM', 'SLIP', '?!!', 'OMFG']
471491502158274562	2408	"['@daviddarkshade', 'and', 'you', ""didn't"", 'make', 'this', 'brother', 'my', 'friend', 'jack', 'storm', 'did', ':)']"	['@DavidDarkshade', 'and', 'you', 'didnt', 'make', 'this', 'brah', 'my', 'friend', 'jack', 'storm', 'did', ':)']
472164134293749760	2409	"['@xoxoxyareli', '@billmillerprobz', 'pshh', 'i', 'went', 'and', 'got', 'mine', 'done', 'regardless', '!', '!', ""i'm"", 'sick', 'of', 'not', 'being', 'able', 'to', 'be', 'a', 'girl', 'haha']"	['@xOxOxYareli', '@BillMillerProbz', 'pshh', 'I', 'went', 'and', 'got', 'mine', 'done', 'regardless', '!', '!', 'Im', 'sick', 'of', 'not', 'being', 'able', 'to', 'be', 'a', 'girl', 'haha']
471938594018721792	2413	['@tindency', 'syempre', 'in', 'the', 'right', 'age', 'hahaha']	['@TINdency', 'Syempre', 'in', 'the', 'right', 'age', 'hahaha']
469853307687546880	2415	['@khalilbrown_', 'shit', 'rocking', '.', 'go', 'head', 'show', 'that', 'to', 'bria', '.']	['@KhalilBrown_', 'shit', 'rockin', '.', 'go', 'head', 'show', 'that', 'to', 'bria', '.']
470180492738711553	2417	['rt', '@kpoplover727', ':', 'words', 'that', 'describe', 'exo', ':', 'luhan', 'is', 'pain', 'chanyeol', 'is', 'sex', 'sehun', 'is', 'porn']	['RT', '@kpoplover727', ':', 'Words', 'that', 'describe', 'EXO', ':', 'Luhan', 'is', 'pain', 'Chanyeol', 'is', 'sex', 'Sehun', 'is', 'porn']
469947163615952896	2418	['rt', '@michael_heaver', ':', 'ukip', 'has', 'had', 'two', 'councillors', 'elected', 'in', 'northern', 'ireland', 'today', '.', 'marvelous', '.']	['RT', '@Michael_Heaver', ':', 'UKIP', 'has', 'had', 'two', 'Councillors', 'elected', 'in', 'Northern', 'Ireland', 'today', '.', 'Marvellous', '.']
471089947873935360	2419	['@kam_maynee', 'laughing out loud', 'because', 'i', 'said', '&', 'you', 'would have', 'been', 'falling', 'right', 'along', 'with', 'me', '.']	['@Kam_Maynee', 'Lol', 'Cause', 'I', 'Said', '&', 'You', 'Woulda', 'Been', 'Falling', 'Right', 'Along', 'With', 'Me', '.']
470025882308841472	2421	['@raqueldiosdado', 'yeah', 'i', 'was', 'gonna', 'hit', 'you', 'up', 'but', 'guess', 'not', 'laughing out loud']	['@raqueldiosdado', 'yea', 'I', 'was', 'gonna', 'hit', 'u', 'up', 'but', 'guess', 'not', 'lol']
470184041132871680	2425	"['@_nicolebeans', 'haha', 'okay', '.', 'well', ',', 'at', 'least', 'i', 'know', 'the', 'other', 'blog', ""you've"", 'been', 'dying', 'to', 'hide', 'laughing out loud']"	"['@_nicolebeans', 'haha', 'okay', '.', 'Well', ',', 'at', 'least', 'I', 'know', 'the', 'other', 'blog', ""you've"", 'been', 'dying', 'to', 'hide', 'lol']"
470403738780200961	2427	"['he', 'obviously', ""doesn't"", 'understand', 'that', '#ballislife', 'http://t.co/wbx9h8jndm']"	['He', 'obvi', 'doesnt', 'understand', 'that', '#ballislife', 'http://t.co/wBX9h8JNDM']
